@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
3500.0,5,13.0769,77.593,1,150000.0
390.0,2,13.0925,80.1372,1,200000.0
520.0,2,13.0925,80.1372,1,209999.98
600.0,1,13.0925,80.1372,1,350000.0
700.0,2,13.0383,80.2209,0,370000.0
1200.0,6,13.0926,80.2248,1,400000.0
1050.0,3,13.0926,80.2248,0,419999.97
908.0,2,13.0926,80.2248,1,590000.0
900.0,1,13.0791,80.2562,0,600000.0
366.0,1,13.0791,80.2562,1,650000.0
1031.0,2,13.0791,80.2562,1,660000.0
540.0,1,13.0791,80.2562,0,800000.0
261.0,1,13.171,80.1991,1,810000.06
1260.0,2,13.171,80.1991,1,810000.06
1363.0,3,13.171,80.1991,1,880000.0
315.0,1,12.9673,79.9467,1,980000.0
305.0,1,12.9673,79.9467,1,980000.0
300.0,1,12.9673,79.9467,1,1000000.0
325.0,1,13.108,79.9544,1,1000000.0
600.0,1,13.108,79.9544,1,1000000.0
500.0,1,13.108,79.9544,0,1000000.0
540.0,1,13.108,79.9544,0,1000000.0
1552.0,3,13.108,79.9544,1,1000000.0
396.0,1,13.108,79.9544,1,1030000.0
396.0,1,13.0464,80.1155,1,1030000.0
396.0,1,13.0464,80.1155,1,1030000.0
420.0,1,13.0464,80.1155,0,1050000.0
375.0,1,13.0464,80.1155,0,1070000.0
396.0,1,13.0464,80.1155,1,1070000.0
396.0,1,13.0464,80.1155,1,1070000.0
396.0,1,13.0464,80.1155,1,1090000.0
250.0,1,13.0464,80.1155,0,1100000.0
396.0,1,13.0464,80.1155,1,1110000.0
396.0,1,13.0464,80.1155,1,1110000.0
539.0,1,13.0464,80.1155,1,1130000.0
539.0,1,13.0464,80.1155,1,1130000.0
450.0,1,13.0464,80.1155,1,1150000.0
412.0,1,13.0464,80.1155,1,1190000.0
500.0,1,13.0464,80.1155,0,1200000.0
600.0,1,13.0464,80.1155,0,1200000.0
330.0,1,13.1143,80.1481,0,1200000.0
415.0,1,13.0791,80.2562,1,1200000.0
350.0,1,13.1143,80.1481,0,1200000.0
2180.0,2,13.125,79.9666,1,1200000.0
400.0,1,12.8013,80.0755,1,1200000.0
416.0,1,13.0464,80.1155,1,1210000.0
416.0,1,13.0464,80.1155,1,1210000.0
500.0,1,12.9212,80.2303,1,1250000.0
535.0,1,12.9212,80.2303,1,1280000.0
611.0,1,12.9212,80.2303,1,1280000.0
611.0,1,12.9212,80.2303,1,1280000.0
600.0,2,13.0464,80.1155,0,1300000.0
387.0,1,12.9673,80.1527,0,1300000.0
550.0,1,12.9673,80.1527,1,1300000.0
468.0,1,12.9673,80.1527,1,1310000.0
375.0,1,12.9673,80.1527,0,1310000.0
415.0,1,12.9673,80.1527,1,1320000.0
629.0,1,12.9673,80.1527,1,1320000.0
629.0,1,12.9673,80.1527,1,1320000.0
629.0,1,12.9673,80.1527,1,1320000.0
500.0,1,12.9673,80.1527,1,1330000.0
415.0,1,13.0791,80.2562,0,1330000.0
758.0,2,12.994,80.1855,1,1330000.0
640.0,1,12.994,80.1855,1,1340000.0
300.0,1,13.0551,80.2221,0,1350000.0
420.0,1,13.0551,80.2221,1,1350000.0
392.0,1,12.9403,80.1785,1,1370000.0
492.0,1,12.9403,80.1785,1,1370000.0
420.0,1,12.8821,80.1923,1,1390000.0
533.0,1,12.8821,80.1923,1,1390000.0
504.0,1,12.8821,80.1923,0,1400000.0
500.0,1,12.8821,80.1923,1,1400000.0
600.0,1,12.8821,80.1923,1,1400000.0
600.0,2,12.8821,80.1923,1,1400000.0
506.0,1,12.8821,80.1923,1,1410000.0
533.0,1,13.0464,80.1155,1,1410000.0
533.0,1,13.0464,80.1155,1,1410000.0
426.0,1,13.0464,80.1155,1,1430000.0
380.0,1,12.908,80.1408,0,1450000.0
459.0,1,12.908,80.1408,1,1460000.0
460.0,1,12.908,80.1408,1,1460000.0
533.0,1,12.908,80.1408,1,1460000.0
565.0,2,12.908,80.1408,1,1470000.0
533.0,1,13.0464,80.1155,1,1480000.0
529.0,1,13.0464,80.1155,1,1480000.0
533.0,1,13.0464,80.1155,1,1490000.0
491.0,1,13.0464,80.1155,1,1500000.0
466.0,1,13.1143,80.1481,0,1500000.0
550.0,2,13.1244,80.1934,1,1500000.0
900.0,2,13.1244,80.1934,0,1500000.0
545.0,2,12.9212,80.2303,0,1500000.0
503.0,1,12.9212,80.2303,1,1500000.0
500.0,1,12.9212,80.2303,1,1500000.0
500.0,1,12.8821,80.1923,1,1500000.0
615.0,2,13.129,80.1548,1,1500000.0
404.0,1,13.129,80.1548,0,1500000.0
500.0,1,12.9171,80.1924,1,1500000.0
450.0,1,12.9171,80.1924,0,1500000.0
450.0,1,12.9171,80.1924,0,1500000.0
475.0,1,12.845,80.0574,0,1500000.0
504.0,1,12.845,80.0574,1,1510000.0
582.0,1,12.8013,80.0755,1,1510000.0
533.0,1,13.0464,80.1155,1,1520000.0
550.0,2,13.0464,80.1155,1,1520000.0
425.0,1,12.9411,80.151,1,1530000.0
425.0,1,12.9411,80.151,1,1530000.0
425.0,1,12.9411,80.151,1,1530000.0
590.0,2,12.9411,80.151,1,1530000.0
452.0,1,12.9411,80.151,1,1540000.0
592.0,1,12.8013,80.0755,1,1540000.0
485.0,1,12.8013,80.0755,1,1540000.0
475.0,1,12.9255,80.1014,1,1540000.0
738.0,2,12.9255,80.1014,1,1550000.0
445.0,1,12.9255,80.1014,0,1550000.0
500.0,1,12.845,80.0574,1,1550000.0
446.0,1,12.845,80.0574,1,1550000.0
486.0,1,12.845,80.0574,1,1550000.0
446.0,1,12.845,80.0574,1,1560000.0
601.0,1,12.8013,80.0755,1,1560000.0
601.0,1,12.8013,80.0755,1,1560000.0
745.0,2,12.8013,80.0755,1,1560000.0
921.0,2,12.8013,80.0755,1,1570000.0
501.0,1,12.9673,79.9467,1,1570000.0
605.0,2,12.9673,79.9467,1,1570000.0
564.0,1,12.9673,79.9467,1,1570000.0
750.0,2,12.9673,79.9467,1,1580000.0
510.0,1,12.8821,80.1923,1,1580000.0
520.0,1,12.8821,80.1923,1,1590000.0
423.0,1,13.0246,80.1087,1,1590000.0
756.0,2,13.0246,80.1087,1,1590000.0
454.0,1,12.9403,80.1785,1,1590000.0
496.0,1,12.9673,79.9467,1,1590000.0
420.0,1,12.9673,79.9467,1,1600000.0
761.0,2,12.9673,79.9467,1,1600000.0
761.0,2,12.9673,79.9467,1,1600000.0
431.0,1,12.9673,79.9467,1,1600000.0
525.0,1,12.9673,79.9467,1,1600000.0
416.0,1,12.9673,79.9467,0,1600000.0
512.0,1,12.9673,79.9467,0,1600000.0
425.0,1,12.9673,79.9467,0,1600000.0
550.0,1,12.9673,80.1527,0,1600000.0
445.0,1,12.9673,80.1527,0,1600000.0
445.0,1,12.9673,80.1527,0,1600000.0
430.0,2,12.9673,80.1527,1,1600000.0
618.0,1,12.8013,80.0755,1,1610000.0
505.0,1,12.8013,80.0755,1,1620000.1
505.0,1,12.8013,80.0755,1,1620000.1
426.0,1,13.0178,80.1088,1,1620000.1
426.0,1,13.0178,80.1088,1,1620000.1
426.0,1,13.0178,80.1088,1,1620000.1
503.0,1,13.129,80.1548,1,1629999.9
500.0,1,12.9255,80.1014,1,1629999.9
476.0,1,13.0925,80.1372,0,1629999.9
584.0,1,13.0925,80.1372,1,1629999.9
776.0,2,13.0925,80.1372,1,1629999.9
420.0,1,13.0925,80.1372,1,1640000.0
438.0,1,13.0925,80.1372,1,1640000.0
330.0,1,13.0925,80.1372,0,1650000.0
600.0,1,13.108,79.9544,1,1650000.0
431.0,1,13.108,79.9544,1,1650000.0
440.0,1,13.108,79.9544,1,1650000.0
600.0,1,13.108,79.9544,1,1650000.0
540.0,1,13.0303,80.1385,0,1650000.0
558.0,2,12.845,80.0574,0,1650000.0
440.0,1,12.845,80.0574,1,1650000.0
440.0,1,12.845,80.0574,1,1650000.0
600.0,1,13.108,79.9544,1,1650000.0
600.0,1,13.108,79.9544,1,1650000.0
476.0,1,13.1143,80.1481,0,1650000.0
500.0,1,12.9171,80.1924,1,1650000.0
500.0,1,12.8821,80.1923,1,1650000.0
500.0,1,12.8821,80.1923,1,1650000.0
635.0,2,12.8821,80.1923,1,1650000.0
552.0,2,13.0791,80.2562,1,1660000.0
552.0,2,13.0791,80.2562,1,1660000.0
520.0,1,13.0791,80.2562,1,1660000.0
620.0,2,13.0791,80.2562,1,1670000.1
620.0,2,13.0791,80.2562,1,1670000.1
798.0,2,13.0791,80.2562,1,1679999.9
460.0,1,13.0303,80.1385,0,1700000.0
450.0,1,13.0925,80.1372,0,1700000.0
450.0,1,13.1143,80.1481,0,1700000.0
498.0,1,13.1143,80.1481,0,1700000.0
455.0,1,13.0303,80.1385,0,1700000.0
600.0,1,13.108,79.9544,1,1700000.0
500.0,1,13.108,79.9544,1,1700000.0
500.0,1,12.8821,80.1923,1,1700000.0
480.0,1,13.0925,80.1372,0,1700000.0
444.0,1,13.0925,80.1372,1,1700000.0
533.0,1,13.0464,80.1155,1,1700000.0
1200.0,1,13.0464,80.1155,1,1700000.0
695.0,2,13.129,80.1548,0,1700000.0
810.0,2,13.129,80.1548,1,1700000.0
476.0,2,12.9255,80.1014,1,1710000.0
1325.0,3,13.0926,80.2248,1,1720000.1
638.0,2,13.0926,80.2248,1,1720000.1
638.0,2,13.0926,80.2248,1,1720000.1
540.0,1,13.0791,80.2562,1,1729999.9
600.0,1,13.108,79.9544,1,1729999.9
511.0,1,13.0464,80.1155,1,1740000.0
464.0,1,13.0545,80.1612,1,1740000.0
464.0,2,13.0545,80.1612,1,1740000.0
464.0,1,13.0545,80.1612,1,1740000.0
464.0,2,13.0612,80.1639,1,1740000.0
590.0,1,13.0612,80.1639,1,1740000.0
829.0,2,13.0612,80.1639,1,1740000.0
436.0,1,13.0178,80.1088,1,1740000.0
416.0,1,13.0303,80.1385,1,1750000.0
514.0,1,13.0464,80.1155,1,1750000.0
514.0,1,13.0464,80.1155,1,1750000.0
600.0,1,13.108,79.9544,1,1750000.0
600.0,1,13.108,79.9544,1,1750000.0
600.0,1,13.108,79.9544,1,1750000.0
560.0,1,13.108,79.9544,1,1750000.0
600.0,1,13.108,79.9544,1,1750000.0
600.0,1,13.0545,80.0616,1,1750000.0
530.0,1,12.9045,80.1594,1,1750000.0
460.0,1,12.9171,80.1924,0,1750000.0
520.0,2,12.8914,80.0845,1,1750000.0
600.0,1,13.108,79.9544,1,1750000.0
590.0,1,13.108,79.9544,1,1760000.0
590.0,1,13.108,79.9544,1,1760000.0
590.0,1,13.108,79.9544,1,1760000.0
590.0,1,13.108,79.9544,1,1760000.0
590.0,1,13.108,79.9544,1,1760000.0
677.0,2,13.0464,80.1155,1,1760000.0
677.0,2,13.0464,80.1155,1,1760000.0
490.0,1,13.0464,80.1155,1,1760000.0
497.0,1,12.9411,80.151,1,1760000.0
600.0,2,12.9673,79.9467,1,1770000.1
570.0,1,12.9673,79.9467,1,1770000.1
495.0,1,13.1143,80.1481,1,1779999.9
850.0,2,13.1143,80.1481,1,1790000.0
677.0,2,13.0464,80.1155,1,1790000.0
677.0,2,13.0464,80.1155,1,1790000.0
579.0,1,13.0464,80.1155,1,1790000.0
580.0,1,13.0464,80.1155,1,1800000.0
623.0,2,12.8013,80.0755,1,1800000.0
428.0,1,12.8013,80.0755,0,1800000.0
475.0,1,13.1143,80.1481,0,1800000.0
650.0,2,12.8013,80.0755,1,1800000.0
376.0,1,12.9411,80.151,1,1800000.0
623.0,2,12.8013,80.0755,1,1800000.0
900.0,1,12.8013,80.0755,1,1800000.0
705.0,2,12.8013,80.0755,0,1800000.0
480.0,2,12.8013,80.0755,1,1800000.0
440.0,1,13.0101,80.1492,0,1800000.0
485.0,1,12.9654,80.2017,0,1800000.0
700.0,2,12.9654,80.2017,0,1800000.0
500.0,1,13.0791,80.2562,1,1800000.0
554.0,1,13.0464,80.1155,0,1800000.0
472.0,1,12.901,80.2279,1,1800000.0
600.0,2,12.901,80.2279,1,1800000.0
500.0,1,13.0791,80.2562,1,1800000.0
500.0,1,13.0791,80.2562,1,1800000.0
480.0,1,13.0925,80.1372,0,1800000.0
400.0,1,13.0925,80.1372,0,1800000.0
610.0,2,13.129,80.1548,0,1800000.0
432.0,1,13.129,80.1548,0,1800000.0
444.0,1,12.901,80.2279,0,1800000.0
500.0,1,12.845,80.0574,0,1800000.0
500.0,1,12.845,80.0574,0,1800000.0
700.0,2,12.845,80.0574,1,1800000.0
855.0,2,13.0791,80.2562,1,1800000.0
450.0,1,13.0791,80.2562,0,1800000.0
530.0,1,13.0791,80.2562,0,1800000.0
740.0,2,13.0827,80.2707,0,1800000.0
600.0,2,13.0827,80.2707,0,1800000.0
900.0,2,13.0827,80.2707,1,1800000.0
900.0,2,13.0827,80.2707,1,1800000.0
611.0,1,13.0827,80.2707,0,1800000.0
476.0,1,13.0827,80.2707,0,1800000.0
640.0,2,13.0827,80.2707,0,1800000.0
575.0,2,13.0827,80.2707,0,1800000.0
581.0,1,13.0827,80.2707,1,1800000.0
563.0,1,12.845,80.0574,0,1800000.0
