@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
600.0,6,13.0002,80.2668,0,100000.0
2500.0,3,17.3505,78.361,1,129999.99
200.0,2,17.3505,78.361,1,250000.0
800.0,3,17.3505,78.361,0,250000.0
1000.0,2,17.3505,78.361,1,300000.0
600.0,2,17.3505,78.361,1,400000.0
100.0,3,17.3505,78.361,1,500000.0
425.0,1,17.3505,78.361,0,550000.0
600.0,2,17.3505,78.361,1,600000.0
500.0,2,17.3678,78.4329,1,600000.0
500.0,1,17.3678,78.4329,0,1000000.0
200.0,1,17.3678,78.4329,1,1000000.0
500.0,1,17.3678,78.4329,0,1000000.0
450.0,1,17.3678,78.4329,1,1000000.0
500.0,1,17.4491,78.5338,0,1000000.0
550.0,1,17.4491,78.5338,0,1000000.0
780.0,2,17.4491,78.5338,0,1000000.0
92.0,2,17.4491,78.5338,0,1050000.0
1100.0,2,17.4491,78.5338,0,1050000.0
585.0,2,17.4491,78.5338,0,630000.0
40.0,1,17.4491,78.5338,0,650000.0
50.0,1,17.4491,78.5338,1,700000.0
500.0,1,17.4491,78.5338,0,700000.0
540.0,2,17.4491,78.5338,0,700000.0
575.0,1,17.4491,78.5338,0,800000.0
512.0,1,17.4491,78.5338,0,800000.0
100.0,2,17.4491,78.5338,1,900000.0
630.0,1,17.4491,78.5338,0,900000.0
700.0,2,17.4491,78.5338,0,900000.0
800.0,2,17.4865,78.6112,0,900000.0
440.0,1,17.4865,78.6112,0,900000.0
528.0,1,17.4865,78.6112,0,1000000.0
80.0,1,17.4865,78.6112,0,1000000.0
520.0,1,17.4865,78.6112,0,1000000.0
746.0,2,17.4865,78.6112,0,1000000.0
520.0,1,17.4865,78.6112,0,1000000.0
500.0,1,17.4865,78.6112,0,1000000.0
500.0,1,17.4865,78.6112,0,1000000.0
950.0,2,17.4865,78.6112,0,1150000.0
865.0,2,17.4865,78.6112,0,1150000.0
600.0,2,17.4865,78.6112,0,1200000.0
550.0,1,17.4865,78.6112,0,1200000.0
