@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
200.0,3,22.5683,88.5106,0,200000.0
750.0,2,22.5683,88.5106,1,280000.0
677.0,2,22.5626,88.378,0,300000.0
255.0,1,22.7228,88.4806,0,310000.0
255.0,1,22.7228,88.4806,0,330000.0
916.0,3,22.5765,88.4796,1,400000.0
255.0,1,22.7228,88.4806,0,450000.0
300.0,1,22.6416,88.4545,1,480000.03
100.0,1,22.4392,88.3958,0,500000.0
300.0,1,22.4392,88.3958,1,500000.0
850.0,2,22.4392,88.3958,1,500000.0
1580.0,3,22.4392,88.3958,0,519999.97
446.0,1,22.7228,88.4806,0,560000.0
312.0,1,22.7228,88.4806,0,590000.0
319.0,1,22.6416,88.4545,1,590000.0
319.0,1,22.5765,88.4796,1,590000.0
319.0,1,22.5765,88.4796,1,590000.0
400.0,1,22.4491,88.3915,0,600000.0
250.0,1,22.6272,88.4331,1,600000.0
420.0,1,22.5319,88.3039,1,610000.0
328.0,1,22.4531,88.3025,1,650000.0
328.0,1,22.4616,88.3062,1,650000.0
325.0,1,22.4531,88.3025,1,650000.0
305.0,2,22.4531,88.3025,0,660000.0
600.0,2,22.4531,88.3025,0,700000.0
416.0,1,22.7228,88.4806,0,700000.0
400.0,1,22.7228,88.4806,0,700000.0
391.0,1,22.7228,88.4806,1,700000.0
380.0,1,22.5319,88.3039,1,700000.0
420.0,1,22.5319,88.3039,0,700000.0
280.0,1,22.6521,88.4191,0,700000.0
322.0,1,22.6521,88.4191,1,710000.0
320.0,1,22.6656,88.3792,1,730000.0
465.0,1,22.8323,88.3968,1,750000.0
418.0,1,22.4531,88.3025,1,750000.0
400.0,1,22.7003,88.3753,1,800000.0
320.0,1,22.5955,88.4357,1,800000.0
440.0,1,22.6416,88.4545,1,800000.0
500.0,1,22.3644,88.3388,1,830000.0
417.0,1,22.7228,88.4806,1,830000.0
440.0,1,22.6416,88.4545,1,839999.94
335.0,1,22.6416,88.4545,1,839999.94
390.0,1,22.6416,88.4545,1,839999.94
390.0,1,22.6416,88.4545,1,839999.94
400.0,1,22.6416,88.4545,1,850000.0
391.0,1,22.7228,88.4806,0,850000.0
450.0,1,22.3644,88.3388,0,850000.0
410.0,1,22.6374,88.3705,1,850000.0
500.0,1,22.6374,88.3705,0,850000.0
467.0,2,22.4531,88.3025,1,850000.0
328.0,1,22.6416,88.4545,1,850000.0
410.0,1,22.5726,88.3639,1,860000.06
350.0,1,22.5726,88.3639,1,880000.0
466.0,1,22.4491,88.3915,1,880000.0
650.0,2,22.3644,88.3388,0,889999.94
360.0,1,22.4796,88.3586,0,900000.0
320.0,1,22.6656,88.3792,1,900000.0
360.0,1,22.4796,88.3586,1,900000.0
360.0,1,22.4796,88.3586,1,900000.0
350.0,1,22.4796,88.3586,1,900000.0
450.0,1,22.4796,88.3586,1,900000.0
450.0,1,22.6817,88.3849,1,900000.0
400.0,1,22.496,88.3703,0,900000.0
350.0,1,22.4824,88.3871,1,900000.0
324.0,1,22.517,88.3658,1,910000.06
661.0,2,22.517,88.3658,1,920000.0
400.0,1,22.6636,88.4273,1,920000.0
360.0,1,22.6636,88.4273,0,930000.0
300.0,1,22.5955,88.4357,1,950000.0
480.0,1,22.4602,88.3644,1,950000.0
400.0,1,22.4602,88.3644,1,960000.06
418.0,1,22.656,88.3675,1,960000.06
