@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
1688.0,3,22.5311,88.3319,0,150000.0
1900.0,3,19.0607,72.8363,0,150000.0
1150.0,2,19.1075,72.9018,0,190000.0
410.0,1,19.1998,72.8426,1,209999.98
620.0,1,19.2954,72.851,0,240000.02
300.0,1,19.1551,72.8679,1,250000.0
2300.0,3,19.0607,72.8363,0,250000.0
2500.0,4,19.0717,72.8341,0,250000.0
1250.0,2,19.0717,72.8341,0,250000.0
1200.0,1,19.3666,72.8161,1,250000.0
300.0,1,19.3666,72.8161,1,250000.0
450.0,1,19.3666,72.8161,1,250000.0
650.0,1,19.2954,72.851,1,259999.98
650.0,1,19.2954,72.851,1,259999.98
210.0,1,19.4269,72.8164,1,380000.0
2400.0,4,19.0607,72.8363,0,380000.0
200.0,1,19.3442,72.8811,1,400000.0
375.0,1,19.3442,72.8811,1,450000.0
300.0,1,19.3666,72.8161,1,450000.0
385.0,1,19.4269,72.8164,0,490000.0
250.0,1,19.3442,72.8811,1,500000.0
4545.0,2,19.3442,72.8811,1,500000.0
425.0,1,19.4269,72.8164,1,550000.0
280.0,1,19.4269,72.8164,1,600000.0
280.0,1,19.4269,72.8164,0,600000.0
300.0,1,19.4269,72.8164,0,600000.0
390.0,1,19.4269,72.8164,0,600000.0
370.0,1,19.3919,72.8397,1,650000.0
4500.0,1,19.4269,72.8164,0,700000.0
250.0,1,19.2954,72.851,0,700000.0
650.0,1,19.4269,72.8164,0,700000.0
335.0,1,19.4158,72.8192,0,760000.0
260.0,1,19.2954,72.851,1,780000.0
300.0,1,19.2279,73.0246,0,800000.0
250.0,1,19.2954,72.851,0,900000.0
355.0,1,19.3919,72.8397,1,900000.0
350.0,1,19.2279,73.0246,0,900000.0
370.0,1,19.2279,73.0246,1,930000.0
260.0,1,19.3018,72.8503,0,939999.94
330.0,1,19.1877,73.0944,1,939999.94
330.0,1,19.1877,73.0944,1,939999.94
500.0,1,19.2954,72.851,1,950000.0
475.0,1,19.4269,72.8164,1,950000.0
220.0,1,19.1828,72.8402,0,800000.0
305.0,1,19.4269,72.8164,1,810000.06
275.0,1,19.4269,72.8164,1,810000.06
315.0,1,19.1877,73.0944,1,820000.0
350.0,1,19.2954,72.851,1,830000.0
335.0,1,19.4269,72.8164,0,850000.0
426.0,1,19.2279,73.0246,1,850000.0
300.0,1,19.4269,72.8164,0,900000.0
335.0,1,19.2279,73.0246,0,900000.0
435.0,1,19.1877,73.0944,1,960000.06
330.0,1,19.1877,73.0944,1,960000.06
320.0,1,19.2954,72.851,1,960000.06
1100.0,3,19.0908,72.9077,1,1000000.0
1300.0,3,19.0908,72.9077,1,1000000.0
1200.0,3,19.0908,72.9077,1,1000000.0
1250.0,3,19.0908,72.9077,1,1000000.0
1150.0,3,19.0908,72.9077,1,1000000.0
1046.0,2,19.0908,72.9077,1,1000000.0
1500.0,3,19.0908,72.9077,1,1000000.0
1700.0,4,19.0908,72.9077,1,1000000.0
1046.0,2,19.0908,72.9077,1,1000000.0
500.0,1,19.0551,72.9155,0,1000000.0
500.0,1,19.0551,72.9155,1,1000000.0
435.0,1,19.4269,72.8164,0,1000000.0
500.0,1,19.2954,72.851,0,1000000.0
300.0,1,19.4269,72.8164,0,1000000.0
400.0,1,19.4269,72.8164,0,1000000.0
200.0,1,19.4269,72.8164,0,1000000.0
