@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
660.0,2,19.1405,72.8422,1,300000.0
432.0,1,12.2841,76.6288,1,1400000.0
1170.0,2,12.2841,76.6288,1,2000000.0
368.0,2,12.2841,76.6288,1,2200000.0
520.0,1,12.2841,76.6288,1,2300000.0
709.0,1,12.2841,76.6288,1,2410000.0
600.0,2,12.2841,76.6288,1,2500000.0
765.0,2,12.2841,76.6288,1,2600000.0
900.0,1,12.2841,76.6288,1,2700000.0
726.0,2,12.2841,76.6288,1,2700000.0
600.0,2,12.2841,76.6288,1,2800000.0
675.0,1,12.2841,76.6288,1,2800000.0
600.0,2,12.2841,76.6288,1,2850000.0
600.0,2,12.2841,76.6288,1,2850000.0
600.0,2,12.2841,76.6288,1,2900000.0
600.0,2,12.2841,76.6288,1,3000000.0
600.0,2,12.2841,76.6288,1,3000000.0
676.0,2,12.2841,76.6288,1,3000000.0
600.0,2,12.2841,76.6288,1,3000000.0
600.0,2,12.2841,76.6288,1,3100000.0
1200.0,2,12.2841,76.6288,1,3200000.0
5.0,2,12.2841,76.6288,0,3200000.0
1200.0,2,12.3081,76.6387,1,3200000.0
600.0,2,12.3081,76.6387,1,3300000.0
750.0,2,12.3081,76.6387,0,3300000.0
1170.0,2,12.3081,76.6387,1,3300000.0
1154.0,2,12.3081,76.6387,1,3300000.0
1170.0,2,12.3081,76.6387,1,3300000.0
1293.0,2,12.3081,76.6387,1,3300000.0
1301.0,2,12.3081,76.6387,1,3300000.0
1200.0,2,12.3081,76.6387,1,3359999.8
825.0,2,12.3341,76.6282,1,3400000.0
1200.0,3,12.3341,76.6282,0,3500000.0
1092.0,2,12.3341,76.6282,1,3500000.0
600.0,2,12.3341,76.6282,1,3500000.0
625.0,2,12.3341,76.6282,0,3500000.0
1176.0,2,12.3341,76.6282,0,3500000.0
600.0,2,12.3341,76.6282,1,3500000.0
450.0,2,12.3341,76.6282,1,3500000.0
1138.0,2,12.3341,76.6282,1,3500000.0
935.0,4,12.3341,76.6282,1,3600000.0
1308.0,2,12.3341,76.6282,1,3659999.8
1130.0,2,12.3341,76.6282,0,3670000.0
1100.0,2,12.3081,76.6387,1,3700000.0
1130.0,2,12.3081,76.6387,0,3700000.0
1182.0,2,12.3081,76.6387,1,3780000.0
1100.0,2,12.3081,76.6387,1,3800000.0
600.0,2,12.3081,76.6387,1,3800000.0
600.0,2,12.3081,76.6387,0,3800000.0
1193.0,2,12.3081,76.6387,1,3809999.8
1221.0,2,12.3081,76.6387,1,3890000.2
1880.0,2,12.3081,76.6387,1,3900000.0
480.0,2,12.2841,76.6288,1,3900000.0
1292.0,2,12.2841,76.6288,1,3909999.8
600.0,2,12.2841,76.6288,1,4000000.0
1350.0,3,12.2841,76.6288,0,4000000.0
600.0,2,12.2841,76.6288,1,4000000.0
1200.0,2,12.2841,76.6288,0,4000000.0
1200.0,2,12.2841,76.6288,0,4000000.0
1200.0,2,12.2841,76.6288,0,4000000.0
660.0,2,12.2841,76.6288,0,4200000.0
600.0,1,12.2841,76.6288,1,4200000.0
600.0,3,12.2841,76.6288,1,4200000.0
1594.0,3,12.2841,76.6288,1,4200000.0
1200.0,3,12.3127,76.6629,0,4200000.0
1558.0,3,12.3127,76.6629,1,4300000.0
990.0,2,12.3127,76.6629,1,4310000.0
1214.0,2,12.3127,76.6629,1,4360000.0
600.0,3,12.3127,76.6629,1,4400000.0
1100.0,2,18.0781,77.5533,0,4400000.0
600.0,2,18.0781,77.5533,1,4000000.0
600.0,2,18.0781,77.5533,1,4000000.0
1100.0,2,12.3081,76.6387,0,4000000.0
3040.0,2,12.3081,76.6387,1,4000000.0
930.0,2,12.3081,76.6387,0,4000000.0
1260.0,2,12.3081,76.6387,1,4100000.0
1260.0,2,12.3081,76.6387,1,4100000.0
950.0,2,12.3081,76.6387,1,4159999.8
1000.0,2,12.3081,76.6387,1,4200000.0
1500.0,3,12.3081,76.6387,1,4200000.0
10.0,3,18.0781,77.5533,1,4400000.0
1080.0,2,18.0781,77.5533,1,4450000.0
1000.0,5,18.0781,77.5533,1,4500000.0
1264.0,2,12.3081,76.6387,1,4500000.0
600.0,1,12.3081,76.6387,1,4500000.0
1250.0,2,12.3081,76.6387,1,4500000.0
500.0,1,12.3127,76.6629,1,4500000.0
1200.0,1,12.3127,76.6629,1,4500000.0
600.0,2,12.3127,76.6629,1,4500000.0
1264.0,2,18.0781,77.5533,1,4500000.0
10.0,6,18.0781,77.5533,0,4500000.0
600.0,2,18.0781,77.5533,1,4500000.0
1264.0,2,12.3081,76.6387,1,4500000.0
1200.0,2,18.0781,77.5533,1,4500000.0
1489.0,2,18.0781,77.5533,1,4500000.0
910.0,2,18.0781,77.5533,1,4500000.0
1501.0,2,18.0781,77.5533,1,4500000.0
910.0,2,18.0781,77.5533,0,4500000.0
1749.0,3,12.3081,76.6387,1,4530000.0
1749.0,3,12.3081,76.6387,1,4530000.0
1250.0,2,12.3081,76.6387,1,4540000.0
600.0,3,12.3081,76.6387,1,4600000.0
600.0,3,12.3081,76.6387,1,4600000.0
1200.0,2,12.3081,76.6387,1,4600000.0
600.0,2,12.3081,76.6387,1,4600000.0
1100.0,2,12.3081,76.6387,0,4600000.0
450.0,2,12.3039,76.6612,1,4600000.0
600.0,3,12.3039,76.6612,1,4700000.0
600.0,2,12.3039,76.6612,1,4700000.0
920.0,2,12.3081,76.6387,1,4700000.0
600.0,3,12.3081,76.6387,1,4700000.0
1552.0,2,12.3081,76.6387,1,4700000.0
600.0,2,12.3081,76.6387,1,4800000.0
600.0,2,12.3081,76.6387,1,4800000.0
1200.0,2,12.3081,76.6387,1,4800000.0
1093.0,2,12.3081,76.6387,1,4800000.0
1115.0,2,12.2716,76.6254,1,4840000.0
1200.0,2,12.2716,76.6254,1,4850000.0
1552.0,3,12.2716,76.6254,1,4850000.0
1575.0,3,12.2716,76.6254,0,4880000.0
1200.0,2,18.0781,77.5533,1,4900000.0
1000.0,2,18.0781,77.5533,0,4900000.0
1355.0,2,18.0781,77.5533,0,4900000.0
1575.0,3,18.0781,77.5533,0,4900000.0
2800.0,2,18.0781,77.5533,1,5000000.0
600.0,2,18.0781,77.5533,1,5000000.0
1220.0,2,18.0781,77.5533,1,5000000.0
600.0,2,18.0781,77.5533,1,5000000.0
600.0,2,18.0781,77.5533,1,5000000.0
1200.0,2,18.0781,77.5533,1,5000000.0
1500.0,2,18.0781,77.5533,1,5000000.0
950.0,2,18.0781,77.5533,0,5000000.0
1600.0,6,18.0781,77.5533,1,5000000.0
1900.0,3,18.0781,77.5533,1,5000000.0
600.0,2,18.0781,77.5533,1,5000000.0
1651.0,2,18.0781,77.5533,1,5000000.0
1313.0,2,18.0781,77.5533,0,5000000.0
1650.0,3,18.0781,77.5533,0,5000000.0
1220.0,2,18.0781,77.5533,0,5000000.0
1305.0,3,18.0781,77.5533,1,5100000.0
1560.0,3,18.0781,77.5533,1,5100000.0
1560.0,3,18.0781,77.5533,1,5130000.0
1134.0,2,18.0781,77.5533,1,5170000.0
1500.0,2,18.0781,77.5533,0,5200000.0
1200.0,2,12.3081,76.6387,0,5200000.0
600.0,3,12.3081,76.6387,1,5200000.0
700.0,2,12.3081,76.6387,1,5200000.0
700.0,2,12.3081,76.6387,1,5200000.0
600.0,3,12.3081,76.6387,0,5200000.0
1235.0,2,12.2967,76.645,1,5200000.0
1090.0,3,12.2967,76.645,1,5200000.0
1225.0,2,12.2967,76.645,0,5200000.0
1308.0,2,12.2967,76.645,1,5230000.0
1405.0,2,12.2967,76.645,1,5260000.0
1224.0,3,12.2716,76.6254,1,5280000.0
1200.0,2,12.3165,76.6557,1,5300000.0
1400.0,3,12.3081,76.6387,1,5300000.0
1250.0,2,12.2967,76.645,1,5300000.0
1308.0,2,12.2967,76.645,0,5400000.0
