@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
975.0,2,12.3341,76.6282,1,330000.0
975.0,2,12.3341,76.6282,1,330000.0
975.0,2,12.3341,76.6282,1,330000.0
975.0,2,12.3341,76.6282,1,330000.0
975.0,2,12.3341,76.6282,1,330000.0
975.0,2,12.3341,76.6282,1,330000.0
300.0,1,28.5891,77.3019,1,650000.0
38.0,1,28.8055,77.0463,1,650000.0
225.0,1,28.8055,77.0463,1,690000.0
420.0,1,28.8055,77.0463,1,700000.0
225.0,1,28.6213,77.0613,1,700000.0
290.0,1,28.5891,77.3019,1,750000.0
450.0,1,28.4964,77.1394,1,780000.0
25.0,1,28.6391,77.0868,0,800000.0
16.0,1,28.6391,77.0868,1,800000.0
450.0,1,28.6391,77.0868,1,800000.0
270.0,1,28.6391,77.0868,1,800000.0
32.0,1,28.6038,77.0291,0,800000.0
225.0,1,28.6213,77.0613,1,800000.0
260.0,1,28.6213,77.0613,0,800000.0
305.0,1,28.5891,77.3019,1,850000.0
50.0,2,28.5891,77.3019,0,850000.0
500.0,1,28.5891,77.3019,1,850000.0
30.0,1,28.5891,77.3019,1,900000.0
360.0,1,28.5891,77.3019,1,900000.0
30.0,1,28.5891,77.3019,1,900000.0
20.0,1,28.6416,77.2954,0,900000.0
46.0,1,28.6416,77.2954,1,900000.0
360.0,1,28.5891,77.3019,1,900000.0
30.0,1,28.5891,77.3019,1,950000.0
65.0,2,28.5891,77.3019,0,950000.0
270.0,1,28.5891,77.3019,1,950000.0
360.0,1,28.5891,77.3019,1,950000.0
315.0,1,28.6213,77.0613,1,950000.0
360.0,1,28.6213,77.0613,1,980000.0
360.0,2,28.6213,77.0613,1,989999.94
200.0,1,28.6213,77.0613,0,1000000.0
500.0,1,28.717,77.0881,0,1000000.0
22.0,1,28.5207,77.2391,0,1000000.0
270.0,1,28.6194,77.0331,0,1000000.0
25.0,1,28.6194,77.0331,0,1000000.0
360.0,1,28.6194,77.0331,0,1000000.0
279.0,1,28.472,77.1329,0,1000000.0
315.0,1,28.472,77.1329,0,1000000.0
30.0,1,28.472,77.1329,0,1000000.0
225.0,1,28.717,77.0881,0,1000000.0
500.0,1,28.717,77.0881,0,1000000.0
243.0,1,28.6194,77.0331,0,1000000.0
144.0,1,28.6194,77.0331,0,1000000.0
270.0,1,28.6213,77.0613,0,1000000.0
200.0,1,28.6416,77.2954,0,1000000.0
312.0,1,28.6213,77.0613,0,1000000.0
225.0,1,28.6213,77.0613,0,1000000.0
300.0,1,28.6213,77.0613,1,1000000.0
30.0,1,28.6213,77.0613,1,1000000.0
407.0,1,28.8055,77.0463,0,1000000.0
12.0,1,28.854,77.0918,0,1000000.0
300.0,1,28.5891,77.3019,1,1000000.0
500.0,1,28.717,77.0881,0,1000000.0
225.0,1,28.717,77.0881,0,1000000.0
33.0,1,28.5891,77.3019,1,1000000.0
297.0,1,28.6213,77.0613,0,1000000.0
500.0,1,28.7619,77.1391,0,1000000.0
198.0,1,28.7619,77.1391,0,1000000.0
350.0,1,28.5212,77.179,1,1000000.0
500.0,1,28.6213,77.0613,0,1000000.0
350.0,1,28.6213,77.0613,1,1000000.0
360.0,1,28.6213,77.0613,0,1000000.0
225.0,1,28.7431,77.1356,0,1000000.0
40.0,1,28.4989,77.239,1,1050000.0
