@relation house
@attribute housesize numeric
@attribute bedrooms numeric
@attribute lattitude numeric
@attribute longitude numeric
@attribute status numeric
@attribute sellingprice numeric
@data
310.0,1,0.0,0.0,1,550000.0
325.0,1,0.0,0.0,0,700000.0
300.0,1,18.4475,73.8232,0,700000.0
369.0,1,18.4475,73.8232,1,710000.0
302.0,1,18.4776,73.8573,1,740000.0
270.0,1,18.4776,73.8573,1,760000.0
235.0,1,18.4776,73.8573,1,800000.0
320.0,1,18.4776,73.8573,1,800000.0
350.0,1,18.4776,73.8573,0,810000.06
500.0,1,18.5793,73.9823,0,850000.0
312.0,1,18.5793,73.9823,1,900000.0
235.0,1,18.5793,73.9823,1,900000.0
1080.0,3,18.5793,73.9823,1,900000.0
500.0,1,18.5793,73.9823,1,910000.06
385.0,1,18.4475,73.8232,0,950000.0
357.0,1,18.7603,73.863,1,1000000.0
485.0,1,18.7603,73.863,1,1000000.0
357.0,1,18.7603,73.863,1,1000000.0
371.0,1,18.5049,73.7655,1,1000000.0
400.0,1,18.5049,73.7655,1,1000000.0
250.0,1,18.4498,73.8748,0,1000000.0
600.0,3,18.4498,73.8748,0,1000000.0
280.0,1,18.5089,73.926,0,1000000.0
380.0,1,18.5089,73.926,0,1000000.0
450.0,2,18.5089,73.926,0,1000000.0
500.0,1,18.5089,73.926,0,1000000.0
400.0,1,18.4498,73.8748,0,1000000.0
531.0,1,18.4498,73.8748,1,1000000.0
539.0,1,18.4498,73.8748,1,1060000.0
425.0,1,18.4498,73.8748,1,1100000.0
425.0,1,18.4498,73.8748,1,1100000.0
500.0,1,18.5793,73.9823,0,1100000.0
480.0,1,18.5793,73.9823,1,1100000.0
416.0,1,18.5089,73.926,0,1100000.0
500.0,1,18.4498,73.8748,0,1100000.0
430.0,2,18.4567,73.9095,0,1100000.0
350.0,1,18.5089,73.926,0,1100000.0
400.0,1,18.4498,73.8748,0,1100000.0
531.0,1,18.4498,73.8748,1,1000000.0
300.0,1,18.4498,73.8748,0,1010000.06
1027.0,2,18.5793,73.9823,1,1010000.06
365.0,1,18.7603,73.863,1,1010000.06
425.0,1,18.7603,73.863,1,1030000.0
357.0,1,18.7603,73.863,1,1039999.94
350.0,1,18.7603,73.863,1,1050000.0
371.0,1,18.7603,73.863,1,1050000.0
285.0,1,18.5089,73.926,0,1050000.0
385.0,1,18.5089,73.926,1,1050000.0
500.0,1,18.5793,73.9823,0,1100000.0
345.0,1,18.5793,73.9823,1,1100000.0
346.0,1,18.5793,73.9823,1,1110000.0
305.0,1,18.5793,73.9823,0,1130000.0
350.0,1,19.1132,73.7327,0,1150000.0
491.0,1,18.4776,73.8573,1,1200000.0
358.0,1,18.5793,73.9823,1,1200000.0
425.0,1,18.4498,73.8748,0,1200000.0
386.0,1,18.4498,73.8748,0,1200000.0
325.0,1,18.5089,73.926,0,1200000.0
500.0,1,18.5089,73.926,0,1200000.0
330.0,1,19.1132,73.7327,0,1200000.0
380.0,1,18.4616,73.8505,0,1200000.0
430.0,1,18.4616,73.8505,1,1200000.0
530.0,1,18.4489,73.8418,1,1220000.0
646.0,2,18.4489,73.8418,1,1220000.0
390.0,1,18.4616,73.8505,0,1230000.0
688.0,2,18.4616,73.8505,1,1240000.0
470.0,1,18.4616,73.8505,1,1250000.0
485.0,1,18.4616,73.8505,0,1250000.0
400.0,1,18.5089,73.926,0,1250000.0
560.0,2,18.4498,73.8748,0,1250000.0
500.0,1,18.7603,73.863,0,1250000.0
520.0,1,18.4776,73.8573,1,1260000.0
661.0,2,18.4776,73.8573,1,1260000.0
700.0,2,18.4776,73.8573,1,1260000.0
672.0,2,18.4776,73.8573,1,1270000.0
510.0,1,18.4776,73.8573,1,1280000.0
684.0,2,18.4776,73.8573,1,1290000.0
425.0,1,18.4776,73.8573,0,1300000.0
350.0,1,18.4776,73.8573,0,1300000.0
418.0,1,18.4776,73.8573,1,1300000.0
500.0,1,18.4498,73.8748,0,1300000.0
285.0,1,18.619,73.8301,0,1300000.0
400.0,1,18.619,73.8301,0,1300000.0
370.0,1,18.619,73.8301,0,1300000.0
500.0,1,18.532,73.9325,0,1300000.0
570.0,1,18.7603,73.863,0,1300000.0
538.0,2,18.7603,73.863,0,1300000.0
430.0,1,18.4616,73.8505,0,1300000.0
321.0,1,18.5527,73.9208,0,1330000.0
469.0,1,18.5527,73.9208,1,1340000.0
460.0,1,18.5527,73.9208,1,1340000.0
333.0,1,18.5527,73.9208,0,1340000.0
479.0,1,18.7603,73.863,1,1340000.0
480.0,1,18.7603,73.863,1,1340000.0
350.0,1,18.7603,73.863,0,1350000.0
425.0,1,19.1132,73.7327,1,1350000.0
489.0,2,18.7603,73.863,1,1350000.0
500.0,1,19.1132,73.7327,0,1400000.0
560.0,1,18.7603,73.863,0,1400000.0
450.0,1,18.4498,73.8748,0,1400000.0
537.0,1,18.4498,73.8748,1,1400000.0
415.0,1,18.4498,73.8748,0,1400000.0
350.0,1,18.4616,73.8505,0,1400000.0
460.0,1,18.4616,73.8505,0,1400000.0
500.0,1,18.4498,73.8748,0,1400000.0
655.0,1,18.7603,73.863,0,1400000.0
500.0,1,18.4498,73.8748,0,1400000.0
425.0,1,18.5911,73.9188,1,1350000.0
515.0,1,18.5911,73.9188,1,1360000.0
403.0,1,18.5911,73.9188,1,1370000.0
560.0,1,18.5911,73.9188,1,1370000.0
550.0,1,18.5911,73.9188,1,1380000.0
731.0,2,18.5911,73.9188,1,1380000.0
469.0,1,18.5911,73.9188,1,1380000.0
469.0,1,18.5911,73.9188,1,1380000.0
479.0,1,18.7603,73.863,1,1390000.0
415.0,1,18.7603,73.863,0,1400000.0
575.0,1,18.7603,73.863,1,1410000.0
574.0,1,18.7603,73.863,1,1410000.0
403.0,1,18.5089,73.926,1,1410000.0
570.0,1,18.7603,73.863,0,1430000.0
500.0,1,18.4498,73.8748,0,1450000.0
554.0,1,19.1132,73.7327,1,1450000.0
454.0,1,18.7603,73.863,0,1450000.0
350.0,1,18.4489,73.8418,0,1450000.0
572.0,2,18.4489,73.8418,1,1450000.0
520.0,1,18.4489,73.8418,1,1460000.0
350.0,1,18.4489,73.8418,0,1400000.0
350.0,1,18.4422,73.8096,0,1400000.0
560.0,1,18.7603,73.863,0,1400000.0
542.0,1,18.7603,73.863,0,1400000.0
580.0,1,18.7603,73.863,1,1400000.0
515.0,1,19.1132,73.7327,1,1400000.0
500.0,1,18.6298,73.7997,0,1400000.0
450.0,1,18.6298,73.7997,0,1400000.0
370.0,1,18.6298,73.7997,0,1400000.0
574.0,1,18.6298,73.7997,1,1410000.0
550.0,1,18.5519,73.8953,1,1460000.0
743.0,2,18.5519,73.8953,1,1460000.0
559.0,1,18.5519,73.8953,1,1480000.0
574.0,1,18.5519,73.8953,1,1490000.0
574.0,1,18.5519,73.8953,1,1490000.0
561.0,1,18.5519,73.8953,1,1490000.0
515.0,1,18.5519,73.8953,1,1490000.0
585.0,1,18.5519,73.8953,1,1490000.0
515.0,1,19.1132,73.7327,1,1490000.0
496.0,1,18.5793,73.9823,1,1500000.0
750.0,1,18.5793,73.9823,1,1500000.0
600.0,1,18.4498,73.8748,0,1500000.0
600.0,1,18.7603,73.863,0,1500000.0
536.0,1,18.7603,73.863,1,1500000.0
425.0,1,18.7603,73.863,0,1500000.0
425.0,1,18.7603,73.863,0,1500000.0
427.0,1,18.7603,73.863,1,1500000.0
570.0,1,18.7603,73.863,0,1500000.0
335.0,1,18.5089,73.926,0,1500000.0
461.0,1,18.5089,73.926,1,1500000.0
576.0,1,18.5089,73.926,1,1500000.0
562.0,1,18.4475,73.8232,1,1500000.0
500.0,1,18.4475,73.8232,0,1500000.0
525.0,1,18.5089,73.926,0,1500000.0
570.0,1,18.7603,73.863,1,1500000.0
600.0,1,18.7603,73.863,0,1500000.0
1000.0,2,18.6298,73.7997,0,1500000.0
421.0,1,18.7603,73.863,0,1500000.0
240.0,1,18.7603,73.863,0,1500000.0
800.0,2,18.619,73.8301,0,1500000.0
411.0,1,18.619,73.8301,1,1500000.0
562.0,1,18.4475,73.8232,1,1500000.0
545.0,1,18.619,73.8301,0,1500000.0
500.0,1,18.4498,73.8748,0,1500000.0
700.0,2,18.5519,73.8953,0,1500000.0
608.0,1,18.5519,73.8953,1,1500000.0
570.0,1,18.5519,73.8953,1,1500000.0
405.0,1,18.4498,73.8748,0,1500000.0
571.0,1,18.4498,73.8748,1,1500000.0
625.0,1,18.7603,73.863,1,1500000.0
421.0,1,18.7603,73.863,0,1500000.0
4800.0,4,18.7603,73.863,0,1500000.0
335.0,1,18.5089,73.926,0,1500000.0
525.0,1,18.619,73.8301,1,1500000.0
375.0,1,18.619,73.8301,0,1500000.0
610.0,1,18.619,73.8301,1,1500000.0
330.0,1,18.4898,73.8203,0,1500000.0
540.0,1,18.5519,73.8953,1,1500000.0
600.0,1,18.5089,73.926,0,1500000.0
608.0,1,18.5089,73.926,1,1500000.0
554.0,1,19.1132,73.7327,1,1500000.0
350.0,1,18.4667,73.7803,0,1500000.0
400.0,1,18.4667,73.7803,0,1500000.0
750.0,1,18.4667,73.7803,0,1500000.0
313.0,1,18.4672,73.827,0,1500000.0
540.0,1,18.4672,73.827,1,1500000.0
503.0,1,18.5793,73.9823,1,1510000.0
472.0,1,18.5793,73.9823,1,1510000.0
570.0,1,18.5519,73.8953,1,1510000.0
550.0,1,18.5519,73.8953,1,1510000.0
540.0,1,18.5519,73.8953,1,1510000.0
550.0,1,18.5519,73.8953,1,1510000.0
571.0,1,18.5519,73.8953,1,1510000.0
436.0,1,18.5519,73.8953,1,1520000.0
542.0,1,18.5519,73.8953,1,1520000.0
595.0,1,18.5519,73.8953,1,1520000.0
574.0,1,18.5519,73.8953,1,1520000.0
576.0,1,18.5519,73.8953,1,1530000.0
419.0,1,18.5519,73.8953,1,1530000.0
570.0,1,18.4489,73.8418,1,1540000.0
561.0,1,18.5519,73.8953,1,1540000.0
386.0,1,18.5519,73.8953,1,1540000.0
515.0,1,18.5793,73.9823,1,1550000.0
410.0,1,18.5971,73.7188,1,1550000.0
473.0,1,19.1132,73.7327,0,1550000.0
350.0,1,19.1132,73.7327,0,1550000.0
450.0,1,18.4498,73.8748,0,1550000.0
550.0,1,18.5115,73.6801,1,1550000.0
610.0,1,18.5793,73.9823,1,1550000.0
610.0,1,18.5793,73.9823,1,1550000.0
610.0,1,18.5793,73.9823,1,1550000.0
610.0,1,18.5793,73.9823,1,1550000.0
610.0,1,18.5793,73.9823,1,1550000.0
555.0,1,18.5793,73.9823,1,1550000.0
610.0,1,18.5793,73.9823,1,1560000.0
610.0,1,18.5793,73.9823,1,1560000.0
503.0,1,18.5793,73.9823,1,1560000.0
503.0,1,18.5793,73.9823,1,1560000.0
323.0,1,18.5793,73.9823,0,1560000.0
543.0,1,18.5793,73.9823,1,1570000.0
627.0,1,18.5793,73.9823,1,1570000.0
570.0,1,18.5519,73.8953,1,1570000.0
627.0,1,18.5519,73.8953,1,1570000.0
571.0,1,18.5519,73.8953,1,1570000.0
524.0,1,18.5793,73.9823,1,1570000.0
574.0,1,18.5519,73.8953,1,1580000.0
494.0,1,18.5519,73.8953,1,1580000.0
620.0,1,18.5793,73.9823,1,1580000.0
620.0,1,18.5793,73.9823,1,1580000.0
620.0,1,18.619,73.8301,1,1580000.0
620.0,1,18.5793,73.9823,1,1580000.0
620.0,1,18.5793,73.9823,1,1580000.0
529.0,1,18.5793,73.9823,1,1590000.0
398.0,1,18.5793,73.9823,1,1590000.0
625.0,1,18.5793,73.9823,1,1590000.0
625.0,1,18.5793,73.9823,1,1590000.0
454.0,1,18.7603,73.863,0,1600000.0
535.0,1,18.7603,73.863,1,1600000.0
400.0,1,18.4498,73.8748,0,1600000.0
436.0,1,18.4498,73.8748,1,1600000.0
500.0,1,18.4498,73.8748,1,1600000.0
500.0,1,18.7603,73.863,0,1600000.0
1400.0,1,18.7603,73.863,1,1600000.0
600.0,1,18.279,74.1577,1,1600000.0
405.0,1,18.279,74.1577,0,1600000.0
528.0,2,18.279,74.1577,0,1600000.0
625.0,1,18.5793,73.9823,1,1590000.0
570.0,1,18.5793,73.9823,1,1600000.0
515.0,1,18.5793,73.9823,1,1600000.0
600.0,2,18.5793,73.9823,0,1600000.0
340.0,1,18.5793,73.9823,0,1600000.0
500.0,1,18.5519,73.8953,0,1600000.0
570.0,1,18.4498,73.8748,0,1600000.0
570.0,1,18.4498,73.8748,1,1600000.0
450.0,1,18.4498,73.8748,0,1600000.0
525.0,1,18.4498,73.8748,0,1600000.0
535.0,1,18.4498,73.8748,0,1600000.0
1000.0,2,18.4498,73.8748,1,1600000.0
600.0,1,18.4498,73.8748,0,1600000.0
500.0,1,18.4498,73.8748,0,1600000.0
535.0,1,18.532,73.9325,1,1600000.0
580.0,1,18.4616,73.8505,0,1600000.0
528.0,1,18.5089,73.926,0,1600000.0
500.0,1,18.4498,73.8748,0,1600000.0
587.0,1,18.7603,73.863,0,1600000.0
550.0,1,18.7603,73.863,0,1600000.0
580.0,1,18.7603,73.863,0,1600000.0
561.0,1,18.7603,73.863,1,1600000.0
525.0,1,18.7603,73.863,1,1600000.0
500.0,1,18.4498,73.8748,0,1600000.0
531.0,1,19.1132,73.7327,0,1600000.0
434.0,1,19.1132,73.7327,1,1600000.0
565.0,1,18.4475,73.8232,1,1600000.0
350.0,1,18.4898,73.8203,0,1600000.0
350.0,1,18.4616,73.8505,0,1600000.0
554.0,1,18.4489,73.8418,1,1610000.0
554.0,1,18.4489,73.8418,1,1610000.0
575.0,1,18.7603,73.863,1,1610000.0
610.0,1,18.7603,73.863,1,1620000.1
625.0,1,18.7603,73.863,1,1620000.1
580.0,1,18.7603,73.863,1,1620000.1
524.0,1,18.5793,73.9823,1,1620000.1
651.0,1,18.5793,73.9823,1,1629999.9
652.0,1,18.5793,73.9823,1,1629999.9
585.0,1,18.5793,73.9823,1,1640000.0
529.0,1,18.5793,73.9823,1,1640000.0
530.0,1,18.7603,73.863,1,1640000.0
514.0,1,18.7603,73.863,1,1640000.0
567.0,1,18.7603,73.863,0,1650000.0
555.0,1,18.7603,73.863,1,1650000.0
550.0,1,18.4422,73.8096,1,1650000.0
475.0,1,18.5089,73.926,0,1650000.0
475.0,1,18.5089,73.926,0,1650000.0
623.0,1,18.5089,73.926,1,1650000.0
550.0,1,18.5089,73.926,1,1650000.0
516.0,1,18.5089,73.926,1,1650000.0
590.0,1,18.5089,73.926,1,1650000.0
590.0,1,18.5089,73.926,1,1650000.0
571.0,1,18.4498,73.8748,0,1660000.0
571.0,1,18.4498,73.8748,0,1660000.0
473.0,1,19.1132,73.7327,0,1660000.0
575.0,1,18.7603,73.863,1,1670000.1
270.0,1,18.5971,73.7188,1,1670000.1
618.0,1,18.4489,73.8418,1,1670000.1
606.0,1,18.5491,73.7913,1,1679999.9
578.0,1,18.4489,73.8418,1,1679999.9
570.0,1,18.4489,73.8418,1,1679999.9
570.0,1,18.619,73.8301,1,1679999.9
313.0,1,18.5971,73.7188,1,1690000.0
637.0,1,18.5971,73.7188,1,1690000.0
605.0,1,18.7603,73.863,1,1690000.0
567.0,1,18.7603,73.863,0,1700000.0
500.0,1,18.5971,73.7188,1,1700000.0
850.0,2,18.5971,73.7188,0,1700000.0
550.0,1,19.1132,73.7327,1,1700000.0
480.0,1,18.4567,73.9095,1,1700000.0
585.0,1,18.7603,73.863,0,1700000.0
280.0,1,18.5216,73.865,0,1700000.0
515.0,1,18.7603,73.863,1,1700000.0
500.0,1,18.5089,73.926,0,1700000.0
551.0,1,18.5089,73.926,1,1700000.0
500.0,1,18.619,73.8301,0,1700000.0
360.0,1,18.619,73.8301,0,1700000.0
400.0,1,18.6223,73.869,1,1700000.0
415.0,1,18.5089,73.926,0,1700000.0
415.0,1,18.5089,73.926,0,1700000.0
350.0,1,18.4616,73.8505,0,1700000.0
430.0,1,18.4616,73.8505,0,1700000.0
400.0,1,18.4616,73.8505,0,1700000.0
540.0,1,18.5519,73.8953,0,1700000.0
430.0,1,18.5971,73.7188,1,1700000.0
1000.0,2,18.4488,73.9069,0,1700000.0
590.0,1,18.4488,73.9069,1,1700000.0
485.0,1,18.4488,73.9069,0,1700000.0
527.0,1,18.4488,73.9069,1,1700000.0
644.0,1,18.4488,73.9069,1,1710000.0
582.0,1,18.7603,73.863,1,1720000.1
582.0,1,18.7603,73.863,1,1720000.1
576.0,1,18.7603,73.863,0,1729999.9
540.0,1,18.5089,73.926,1,1729999.9
