@relation 'user-motog3_rated_extended-reviews'

@attribute memor numeric
@attribute servic numeric
@attribute speaker numeric
@attribute devic numeric
@attribute water numeric
@attribute heat numeric
@attribute ram numeric
@attribute perform numeric
@attribute product numeric
@attribute motorola numeric
@attribute featur numeric
@attribute android numeric
@attribute screen numeric
@attribute qualit numeric
@attribute pric numeric
@attribute batter numeric
@attribute camera numeric
@attribute phon numeric
@attribute rating {1,2,3,4,5}

@data


0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5
0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,-1,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,0,0,0,0,-1,0,0,0,0,1,3,0,0,2,2,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
